custom_year,custom_month,custom_day,custom_date,custom_user_id,custom_produit_id,custom_event_name,sales,quantity
year1,month1,day6,date6,user175,produit2,event_name1,,
year1,month1,day4,date4,user185,produit2,event_name1,,
year1,month1,day4,date4,user187,produit2,event_name1,,
year1,month1,day5,date5,user187,produit2,event_name1,,
year1,month1,day2,date2,user198,produit2,event_name1,,
year1,month1,day2,date2,user198,produit2,event_name1,,
year1,month1,day8,date8,user219,produit2,event_name1,,
year1,month1,day4,date4,user230,produit2,event_name1,,
year1,month1,day2,date2,user235,produit2,event_name1,,
year1,month1,day2,date2,user235,produit2,event_name1,,
year1,month1,day2,date2,user235,produit2,event_name1,,
year1,month1,day2,date2,user235,produit2,event_name1,,
year1,month1,day2,date2,user235,produit2,event_name1,,
year1,month1,day2,date2,user235,produit2,event_name1,,
year1,month1,day6,date6,user239,produit2,event_name1,,
year1,month1,day7,date7,user245,produit2,event_name1,,
year1,month1,day3,date3,user258,produit2,event_name1,,
year1,month1,day3,date3,user258,produit2,event_name1,,
year1,month1,day3,date3,user258,produit2,event_name1,,
year1,month1,day3,date3,user258,produit2,event_name1,,
year1,month1,day5,date5,user273,produit2,event_name1,,
year1,month1,day5,date5,user273,produit2,event_name1,,
year1,month1,day5,date5,user273,produit2,event_name1,,
year1,month1,day3,date3,user301,produit2,event_name1,,
year1,month1,day7,date7,user303,produit2,event_name1,,
year1,month1,day3,date3,user308,produit2,event_name1,,
year1,month1,day6,date6,user318,produit2,event_name1,,
year1,month1,day2,date2,user322,produit2,event_name1,,
year1,month1,day3,date3,user347,produit2,event_name1,,
year1,month1,day4,date4,user356,produit2,event_name1,,
year1,month1,day5,date5,user357,produit2,event_name1,,
year1,month1,day2,date2,user375,produit2,event_name1,,
year1,month1,day1,date1,user376,produit2,event_name1,,
year1,month1,day3,date3,user382,produit2,event_name1,,
year1,month1,day1,date1,user394,produit2,event_name1,,
year1,month1,day2,date2,user394,produit2,event_name1,,
year1,month1,day3,date3,user399,produit2,event_name1,,
year1,month1,day4,date4,user410,produit2,event_name1,,
year1,month1,day7,date7,user421,produit2,event_name1,,
year1,month1,day4,date4,user444,produit2,event_name1,,
year1,month1,day4,date4,user444,produit2,event_name1,,
year1,month1,day4,date4,user444,produit2,event_name1,,
year1,month1,day4,date4,user444,produit2,event_name1,,
year1,month1,day4,date4,user444,produit2,event_name1,,
year1,month1,day4,date4,user444,produit2,event_name1,,
year1,month1,day4,date4,user444,produit2,event_name1,,
year1,month1,day4,date4,user444,produit2,event_name1,,
year1,month1,day4,date4,user444,produit2,event_name1,,
year1,month1,day4,date4,user444,produit2,event_name1,,
year1,month1,day4,date4,user444,produit2,event_name1,,
year1,month1,day4,date4,user444,produit2,event_name1,,
year1,month1,day4,date4,user444,produit2,event_name1,,
year1,month1,day5,date5,user444,produit2,event_name1,,
year1,month1,day5,date5,user444,produit2,event_name1,,
year1,month1,day5,date5,user461,produit2,event_name1,,
year1,month1,day4,date4,user470,produit2,event_name1,,
year1,month1,day8,date8,user471,produit2,event_name1,,
year1,month1,day8,date8,user471,produit2,event_name1,,
year1,month1,day8,date8,user471,produit2,event_name1,,
year1,month1,day4,date4,user477,produit2,event_name1,,
year1,month1,day6,date6,user478,produit2,event_name1,,
year1,month1,day6,date6,user478,produit2,event_name1,,
year1,month1,day6,date6,user486,produit2,event_name1,,
year1,month1,day1,date1,user521,produit2,event_name1,,
year1,month1,day1,date1,user521,produit2,event_name1,,
year1,month1,day5,date5,user522,produit2,event_name1,,
year1,month1,day7,date7,user529,produit2,event_name1,,
year1,month1,day8,date8,user531,produit2,event_name1,,
year1,month1,day3,date3,user532,produit2,event_name1,,
year1,month1,day8,date8,user539,produit2,event_name1,,
year1,month1,day3,date3,user543,produit2,event_name1,,
year1,month1,day3,date3,user552,produit2,event_name1,,
year1,month1,day2,date2,user558,produit2,event_name1,,
year1,month1,day2,date2,user558,produit2,event_name1,,
year1,month1,day8,date8,user559,produit2,event_name1,,
year1,month1,day8,date8,user559,produit2,event_name1,,
year1,month1,day4,date4,user561,produit2,event_name1,,
year1,month1,day4,date4,user561,produit2,event_name1,,
year1,month1,day6,date6,user572,produit2,event_name1,,
year1,month1,day2,date2,user574,produit2,event_name1,,
year1,month1,day4,date4,user574,produit2,event_name1,,
year1,month1,day6,date6,user578,produit2,event_name1,,
year1,month1,day4,date4,user600,produit2,event_name1,,
year1,month1,day5,date5,user600,produit2,event_name1,,
year1,month1,day2,date2,user605,produit2,event_name1,,
year1,month1,day8,date8,user608,produit2,event_name1,,
year1,month1,day1,date1,user611,produit2,event_name1,,
year1,month1,day6,date6,user612,produit2,event_name1,,
year1,month1,day6,date6,user612,produit2,event_name1,,
year1,month1,day2,date2,user618,produit2,event_name1,,
year1,month1,day3,date3,user624,produit2,event_name1,,
year1,month1,day4,date4,user625,produit2,event_name1,,
year1,month1,day8,date8,user634,produit2,event_name1,,
year1,month1,day7,date7,user640,produit2,event_name1,,
year1,month1,day8,date8,user642,produit2,event_name1,,
year1,month1,day4,date4,user654,produit2,event_name1,,
year1,month1,day7,date7,user655,produit2,event_name1,,
year1,month1,day4,date4,user669,produit2,event_name1,,
year1,month1,day3,date3,user670,produit2,event_name1,,
year1,month1,day2,date2,user678,produit2,event_name1,,
year1,month1,day1,date1,user704,produit2,event_name1,,
year1,month1,day2,date2,user706,produit2,event_name1,,
year1,month1,day4,date4,user712,produit2,event_name1,,
year1,month1,day2,date2,user720,produit2,event_name1,,
year1,month1,day4,date4,user720,produit2,event_name1,,
year1,month1,day1,date1,user721,produit2,event_name1,,
year1,month1,day8,date8,user726,produit2,event_name1,,
year1,month1,day8,date8,user742,produit2,event_name1,,
year1,month1,day8,date8,user750,produit2,event_name1,,
year1,month1,day5,date5,user751,produit2,event_name1,,
year1,month1,day3,date3,user756,produit2,event_name1,,
year1,month1,day5,date5,user770,produit2,event_name1,,
year1,month1,day3,date3,user777,produit2,event_name1,,
year1,month1,day3,date3,user778,produit2,event_name1,,
year1,month1,day5,date5,user796,produit2,event_name1,,
year1,month1,day2,date2,user797,produit2,event_name1,,
year1,month1,day2,date2,user813,produit2,event_name1,,
year1,month1,day2,date2,user830,produit2,event_name1,,
year1,month1,day8,date8,user836,produit2,event_name1,,
year1,month1,day3,date3,user840,produit2,event_name1,,
year1,month1,day3,date3,user840,produit2,event_name1,,
year1,month1,day3,date3,user840,produit2,event_name1,,
year1,month1,day7,date7,user875,produit2,event_name1,,
year1,month1,day3,date3,user914,produit2,event_name1,,
year1,month1,day3,date3,user914,produit2,event_name1,,
year1,month1,day3,date3,user914,produit2,event_name1,,
year1,month1,day7,date7,user914,produit2,event_name1,,
year1,month1,day1,date1,user919,produit2,event_name1,,
year1,month1,day4,date4,user926,produit2,event_name1,,
year1,month1,day4,date4,user926,produit2,event_name1,,
year1,month1,day7,date7,user933,produit2,event_name1,,
year1,month1,day5,date5,user941,produit2,event_name1,,
year1,month1,day1,date1,user942,produit2,event_name1,,
year1,month1,day7,date7,user943,produit2,event_name1,,
year1,month1,day1,date1,user945,produit2,event_name1,,
year1,month1,day3,date3,user961,produit2,event_name1,,
year1,month1,day5,date5,user966,produit2,event_name1,,
year1,month1,day5,date5,user966,produit2,event_name1,,
year1,month1,day5,date5,user966,produit2,event_name1,,
year1,month1,day3,date3,user970,produit2,event_name1,,
year1,month1,day6,date6,user974,produit2,event_name1,,
year1,month1,day4,date4,user980,produit2,event_name1,,
year1,month1,day4,date4,user980,produit2,event_name1,,
year1,month1,day4,date4,user981,produit2,event_name1,,
year1,month1,day4,date4,user981,produit2,event_name1,,
year1,month1,day1,date1,user994,produit2,event_name1,,
year1,month1,day3,date3,user994,produit2,event_name1,,
year1,month1,day4,date4,user997,produit2,event_name1,,
year1,month1,day3,date3,user1026,produit2,event_name1,,
year1,month1,day3,date3,user1027,produit2,event_name1,,
year1,month1,day7,date7,user1029,produit2,event_name1,,
year1,month1,day1,date1,user1037,produit2,event_name1,,
year1,month1,day1,date1,user1037,produit2,event_name1,,
year1,month1,day1,date1,user1037,produit2,event_name1,,
year1,month1,day8,date8,user1054,produit2,event_name1,,
year1,month1,day4,date4,user1057,produit2,event_name1,,
year1,month1,day2,date2,user1061,produit2,event_name1,,
year1,month1,day6,date6,user1073,produit2,event_name1,,
year1,month1,day4,date4,user1092,produit2,event_name1,,
year1,month1,day1,date1,user1101,produit2,event_name1,,
year1,month1,day8,date8,user1112,produit2,event_name1,,
year1,month1,day4,date4,user1143,produit2,event_name1,,
year1,month1,day6,date6,user1154,produit2,event_name1,,
year1,month1,day7,date7,user1160,produit2,event_name1,,
year1,month1,day7,date7,user1163,produit2,event_name1,,
year1,month1,day4,date4,user1167,produit2,event_name1,,
year1,month1,day4,date4,user1167,produit2,event_name1,,
year1,month1,day4,date4,user1167,produit2,event_name1,,
year1,month1,day5,date5,user1167,produit2,event_name1,,
year1,month1,day1,date1,user1172,produit2,event_name1,,
year1,month1,day1,date1,user1172,produit2,event_name1,,
year1,month1,day2,date2,user1173,produit2,event_name1,,
year1,month1,day5,date5,user1181,produit2,event_name1,,
year1,month1,day5,date5,user1181,produit2,event_name1,,
year1,month1,day5,date5,user1181,produit2,event_name1,,
year1,month1,day5,date5,user1181,produit2,event_name1,,
year1,month1,day5,date5,user1196,produit2,event_name1,,
year1,month1,day4,date4,user1205,produit2,event_name1,,
year1,month1,day8,date8,user1209,produit2,event_name1,,
year1,month1,day4,date4,user1211,produit2,event_name1,,
year1,month1,day3,date3,user1218,produit2,event_name1,,
year1,month1,day4,date4,user1234,produit2,event_name1,,
year1,month1,day6,date6,user1261,produit2,event_name1,,
year1,month1,day1,date1,user1267,produit2,event_name1,,
year1,month1,day1,date1,user1273,produit2,event_name1,,
year1,month1,day4,date4,user1280,produit2,event_name1,,
year1,month1,day3,date3,user1281,produit2,event_name1,,
year1,month1,day4,date4,user1284,produit2,event_name1,,
year1,month1,day1,date1,user1296,produit2,event_name1,,
year1,month1,day3,date3,user1302,produit2,event_name1,,
year1,month1,day4,date4,user1307,produit2,event_name1,,
year1,month1,day4,date4,user1328,produit2,event_name1,,
year1,month1,day3,date3,user1334,produit2,event_name1,,
year1,month1,day6,date6,user1341,produit2,event_name1,,
year1,month1,day2,date2,user1342,produit2,event_name1,,
year1,month1,day5,date5,user1346,produit2,event_name1,,
year1,month1,day4,date4,user1347,produit2,event_name1,,
year1,month1,day4,date4,user1348,produit2,event_name1,,
year1,month1,day4,date4,user1348,produit2,event_name1,,
year1,month1,day8,date8,user1402,produit2,event_name1,,
year1,month1,day8,date8,user1402,produit2,event_name1,,
year1,month1,day8,date8,user1402,produit2,event_name1,,
year1,month1,day8,date8,user1402,produit2,event_name1,,
year1,month1,day8,date8,user1402,produit2,event_name1,,
year1,month1,day8,date8,user1402,produit2,event_name1,,
year1,month1,day4,date4,user1414,produit2,event_name1,,
year1,month1,day7,date7,user1419,produit2,event_name1,,
year1,month1,day8,date8,user1419,produit2,event_name1,,
year1,month1,day8,date8,user1419,produit2,event_name1,,
year1,month1,day5,date5,user1437,produit2,event_name1,,
year1,month1,day3,date3,user1442,produit2,event_name1,,
year1,month1,day1,date1,user1447,produit2,event_name1,,
year1,month1,day1,date1,user1447,produit2,event_name1,,
year1,month1,day1,date1,user1447,produit2,event_name1,,
year1,month1,day4,date4,user1454,produit2,event_name1,,
year1,month1,day3,date3,user1460,produit2,event_name1,,
year1,month1,day4,date4,user1461,produit2,event_name1,,
year1,month1,day3,date3,user1463,produit2,event_name1,,
year1,month1,day3,date3,user1463,produit2,event_name1,,
year1,month1,day5,date5,user1474,produit2,event_name1,,
year1,month1,day2,date2,user1482,produit2,event_name1,,
year1,month1,day5,date5,user1482,produit2,event_name1,,
year1,month1,day4,date4,user1488,produit2,event_name1,,
year1,month1,day4,date4,user1488,produit2,event_name1,,
year1,month1,day4,date4,user1506,produit2,event_name1,,
year1,month1,day5,date5,user1512,produit2,event_name1,,
year1,month1,day5,date5,user1512,produit2,event_name1,,
year1,month1,day3,date3,user1514,produit2,event_name1,,
year1,month1,day4,date4,user1522,produit2,event_name1,,
year1,month1,day4,date4,user1522,produit2,event_name1,,
year1,month1,day1,date1,user1534,produit2,event_name1,,
year1,month1,day2,date2,user1535,produit2,event_name1,,
year1,month1,day6,date6,user1543,produit2,event_name1,,
year1,month1,day6,date6,user1543,produit2,event_name1,,
year1,month1,day6,date6,user1554,produit2,event_name1,,
year1,month1,day1,date1,user1565,produit2,event_name1,,
year1,month1,day1,date1,user1590,produit2,event_name1,,
year1,month1,day4,date4,user1620,produit2,event_name1,,
year1,month1,day6,date6,user1622,produit2,event_name1,,
year1,month1,day6,date6,user1622,produit2,event_name1,,
year1,month1,day5,date5,user1625,produit2,event_name1,,
year1,month1,day2,date2,user1636,produit2,event_name1,,
year1,month1,day8,date8,user1637,produit2,event_name1,,
year1,month1,day1,date1,user1639,produit2,event_name1,,
year1,month1,day8,date8,user1639,produit2,event_name1,,
year1,month1,day8,date8,user1639,produit2,event_name1,,
year1,month1,day8,date8,user1639,produit2,event_name1,,
year1,month1,day8,date8,user1658,produit2,event_name1,,
year1,month1,day8,date8,user1658,produit2,event_name1,,
year1,month1,day1,date1,user1664,produit2,event_name1,,
year1,month1,day1,date1,user1664,produit2,event_name1,,
year1,month1,day8,date8,user1665,produit2,event_name1,,
year1,month1,day8,date8,user1665,produit2,event_name1,,
year1,month1,day1,date1,user1668,produit2,event_name1,,
year1,month1,day8,date8,user1676,produit2,event_name1,,
year1,month1,day4,date4,user1678,produit2,event_name1,,
year1,month1,day4,date4,user1691,produit2,event_name1,,
year1,month1,day4,date4,user1691,produit2,event_name1,,
year1,month1,day3,date3,user1695,produit2,event_name1,,
year1,month1,day4,date4,user1703,produit2,event_name1,,
year1,month1,day4,date4,user1714,produit2,event_name1,,
year1,month1,day6,date6,user1721,produit2,event_name1,,
year1,month1,day6,date6,user1721,produit2,event_name1,,
year1,month1,day2,date2,user1724,produit2,event_name1,,
year1,month1,day4,date4,user1726,produit2,event_name1,,
year1,month1,day1,date1,user1730,produit2,event_name1,,
year1,month1,day6,date6,user1734,produit2,event_name1,,
year1,month1,day6,date6,user1734,produit2,event_name1,,
year1,month1,day6,date6,user1734,produit2,event_name1,,
year1,month1,day2,date2,user1736,produit2,event_name1,,
year1,month1,day4,date4,user1749,produit2,event_name1,,
year1,month1,day3,date3,user1752,produit2,event_name1,,
year1,month1,day8,date8,user1769,produit2,event_name1,,
year1,month1,day3,date3,user1772,produit2,event_name1,,
year1,month1,day5,date5,user1777,produit2,event_name1,,
year1,month1,day3,date3,user1796,produit2,event_name1,,
year1,month1,day2,date2,user1799,produit2,event_name1,,
year1,month1,day4,date4,user1799,produit2,event_name1,,
year1,month1,day4,date4,user1817,produit2,event_name1,,
year1,month1,day4,date4,user1819,produit2,event_name1,,
year1,month1,day5,date5,user1822,produit2,event_name1,,
year1,month1,day8,date8,user1827,produit2,event_name1,,
year1,month1,day8,date8,user1851,produit2,event_name1,,
year1,month1,day1,date1,user1875,produit2,event_name1,,
year1,month1,day3,date3,user1878,produit2,event_name1,,
year1,month1,day4,date4,user1883,produit2,event_name1,,
year1,month1,day1,date1,user1887,produit2,event_name1,,
year1,month1,day2,date2,user1891,produit2,event_name1,,
year1,month1,day1,date1,user1905,produit2,event_name1,,
year1,month1,day1,date1,user1905,produit2,event_name1,,
year1,month1,day3,date3,user1905,produit2,event_name1,,
year1,month1,day8,date8,user1909,produit2,event_name1,,
year1,month1,day1,date1,user1910,produit2,event_name1,,
year1,month1,day5,date5,user1932,produit2,event_name1,,
year1,month1,day5,date5,user1952,produit2,event_name1,,
year1,month1,day8,date8,user1977,produit2,event_name1,,
year1,month1,day8,date8,user1977,produit2,event_name1,,
year1,month1,day1,date1,user1981,produit2,event_name1,,
year1,month1,day7,date7,user1981,produit2,event_name1,,
year1,month1,day7,date7,user1981,produit2,event_name1,,
year1,month1,day7,date7,user1981,produit2,event_name1,,
year1,month1,day8,date8,user1995,produit2,event_name1,,
year1,month1,day4,date4,user2005,produit2,event_name1,,
year1,month1,day1,date1,user2013,produit2,event_name1,,
year1,month1,day1,date1,user2018,produit2,event_name1,,
year1,month1,day4,date4,user2020,produit2,event_name1,,
year1,month1,day4,date4,user2023,produit2,event_name1,,
year1,month1,day1,date1,user2025,produit2,event_name1,,
year1,month1,day5,date5,user2028,produit2,event_name1,,
year1,month1,day5,date5,user2044,produit2,event_name1,,
year1,month1,day8,date8,user2050,produit2,event_name1,,
year1,month1,day8,date8,user2057,produit2,event_name1,,
year1,month1,day8,date8,user2062,produit2,event_name1,,
year1,month1,day8,date8,user2062,produit2,event_name1,,
year1,month1,day5,date5,user2063,produit2,event_name1,,
year1,month1,day6,date6,user2063,produit2,event_name1,,
year1,month1,day3,date3,user2081,produit2,event_name1,,
year1,month1,day3,date3,user2081,produit2,event_name1,,
year1,month1,day1,date1,user2083,produit2,event_name1,,
year1,month1,day7,date7,user2089,produit2,event_name1,,
year1,month1,day6,date6,user2090,produit2,event_name1,,
year1,month1,day6,date6,user2090,produit2,event_name1,,
year1,month1,day6,date6,user2090,produit2,event_name1,,
year1,month1,day6,date6,user2090,produit2,event_name1,,
year1,month1,day6,date6,user2090,produit2,event_name1,,
year1,month1,day6,date6,user2090,produit2,event_name1,,
year1,month1,day4,date4,user2092,produit2,event_name1,,
year1,month1,day5,date5,user2101,produit2,event_name1,,
year1,month1,day5,date5,user2121,produit2,event_name1,,
year1,month1,day5,date5,user2121,produit2,event_name1,,
year1,month1,day6,date6,user2121,produit2,event_name1,,
year1,month1,day7,date7,user2121,produit2,event_name1,,
year1,month1,day2,date2,user2122,produit2,event_name1,,
year1,month1,day5,date5,user2132,produit2,event_name1,,
year1,month1,day7,date7,user2140,produit2,event_name1,,
year1,month1,day4,date4,user2144,produit2,event_name1,,
year1,month1,day3,date3,user2152,produit2,event_name1,,
year1,month1,day2,date2,user2164,produit2,event_name1,,
year1,month1,day5,date5,user2164,produit2,event_name1,,
year1,month1,day2,date2,user2165,produit2,event_name1,,
year1,month1,day1,date1,user2167,produit2,event_name1,,
year1,month1,day3,date3,user2171,produit2,event_name1,,
year1,month1,day3,date3,user2171,produit2,event_name1,,
year1,month1,day4,date4,user2171,produit2,event_name1,,
year1,month1,day4,date4,user2171,produit2,event_name1,,
year1,month1,day4,date4,user2187,produit2,event_name1,,
year1,month1,day1,date1,user2192,produit2,event_name1,,
year1,month1,day5,date5,user2204,produit2,event_name1,,
year1,month1,day8,date8,user2208,produit2,event_name1,,
year1,month1,day8,date8,user2209,produit2,event_name1,,
year1,month1,day7,date7,user2214,produit2,event_name1,,
year1,month1,day4,date4,user2215,produit2,event_name1,,
year1,month1,day3,date3,user2227,produit2,event_name1,,
year1,month1,day6,date6,user2227,produit2,event_name1,,
year1,month1,day6,date6,user2227,produit2,event_name1,,
year1,month1,day6,date6,user2227,produit2,event_name1,,
year1,month1,day6,date6,user2230,produit2,event_name1,,
year1,month1,day4,date4,user2234,produit2,event_name1,,
year1,month1,day3,date3,user2239,produit2,event_name1,,
year1,month1,day7,date7,user2239,produit2,event_name1,,
year1,month1,day2,date2,user2251,produit2,event_name1,,
year1,month1,day5,date5,user2253,produit2,event_name1,,
year1,month1,day5,date5,user2259,produit2,event_name1,,
year1,month1,day5,date5,user2259,produit2,event_name1,,
year1,month1,day8,date8,user2269,produit2,event_name1,,
year1,month1,day2,date2,user2281,produit2,event_name1,,
year1,month1,day3,date3,user2291,produit2,event_name1,,
year1,month1,day3,date3,user2291,produit2,event_name1,,
year1,month1,day3,date3,user2294,produit2,event_name1,,
year1,month1,day5,date5,user2298,produit2,event_name1,,
year1,month1,day7,date7,user2300,produit2,event_name1,,
year1,month1,day1,date1,user2324,produit2,event_name1,,
year1,month1,day2,date2,user2331,produit2,event_name1,,
year1,month1,day3,date3,user2342,produit2,event_name1,,
year1,month1,day3,date3,user2357,produit2,event_name1,,
year1,month1,day3,date3,user2365,produit2,event_name1,,
year1,month1,day3,date3,user2367,produit2,event_name1,,
year1,month1,day3,date3,user2367,produit2,event_name1,,
year1,month1,day1,date1,user2391,produit2,event_name1,,
year1,month1,day4,date4,user2398,produit2,event_name1,,
year1,month1,day6,date6,user2400,produit2,event_name1,,
year1,month1,day1,date1,user2411,produit2,event_name1,,
year1,month1,day1,date1,user2411,produit2,event_name1,,
year1,month1,day4,date4,user2412,produit2,event_name1,,
year1,month1,day5,date5,user2419,produit2,event_name1,,
year1,month1,day6,date6,user2419,produit2,event_name1,,
year1,month1,day6,date6,user2419,produit2,event_name1,,
year1,month1,day6,date6,user2419,produit2,event_name1,,
year1,month1,day4,date4,user2422,produit2,event_name1,,
year1,month1,day1,date1,user2423,produit2,event_name1,,
year1,month1,day1,date1,user2425,produit2,event_name1,,
year1,month1,day1,date1,user2425,produit2,event_name1,,
year1,month1,day1,date1,user2425,produit2,event_name1,,
year1,month1,day3,date3,user2429,produit2,event_name1,,
year1,month1,day6,date6,user2430,produit2,event_name1,,
year1,month1,day3,date3,user2438,produit2,event_name1,,
year1,month1,day5,date5,user2439,produit2,event_name1,,
year1,month1,day7,date7,user2449,produit2,event_name1,,
year1,month1,day1,date1,user2470,produit2,event_name1,,
year1,month1,day5,date5,user2473,produit2,event_name1,,
year1,month1,day6,date6,user2487,produit2,event_name1,,
year1,month1,day5,date5,user2502,produit2,event_name1,,
year1,month1,day7,date7,user2505,produit2,event_name1,,
year1,month1,day8,date8,user2510,produit2,event_name1,,
year1,month1,day3,date3,user2513,produit2,event_name1,,
year1,month1,day3,date3,user2528,produit2,event_name1,,
year1,month1,day8,date8,user2533,produit2,event_name1,,
year1,month1,day4,date4,user2541,produit2,event_name1,,
year1,month1,day2,date2,user2543,produit2,event_name1,,
year1,month1,day2,date2,user2543,produit2,event_name1,,
year1,month1,day2,date2,user2543,produit2,event_name1,,
year1,month1,day2,date2,user2543,produit2,event_name1,,
year1,month1,day1,date1,user2560,produit2,event_name1,,
year1,month1,day1,date1,user2597,produit2,event_name1,,
year1,month1,day4,date4,user2607,produit2,event_name1,,
year1,month1,day1,date1,user2611,produit2,event_name1,,
year1,month1,day2,date2,user2628,produit2,event_name1,,
year1,month1,day4,date4,user2631,produit2,event_name1,,
year1,month1,day5,date5,user2631,produit2,event_name1,,
year1,month1,day6,date6,user2637,produit2,event_name1,,
year1,month1,day4,date4,user2639,produit2,event_name1,,
year1,month1,day4,date4,user2639,produit2,event_name1,,
year1,month1,day3,date3,user2645,produit2,event_name1,,
year1,month1,day4,date4,user2649,produit2,event_name1,,
year1,month1,day4,date4,user2649,produit2,event_name1,,
year1,month1,day4,date4,user2657,produit2,event_name1,,
year1,month1,day5,date5,user2675,produit2,event_name1,,
year1,month1,day8,date8,user2683,produit2,event_name1,,
year1,month1,day5,date5,user2708,produit2,event_name1,,
year1,month1,day4,date4,user2710,produit2,event_name1,,
year1,month1,day2,date2,user2711,produit2,event_name1,,
year1,month1,day4,date4,user2722,produit2,event_name1,,
year1,month1,day4,date4,user2724,produit2,event_name1,,
year1,month1,day7,date7,user2727,produit2,event_name1,,
year1,month1,day5,date5,user2733,produit2,event_name1,,
year1,month1,day8,date8,user2737,produit2,event_name1,,
year1,month1,day5,date5,user2746,produit2,event_name1,,
year1,month1,day5,date5,user2747,produit2,event_name1,,
year1,month1,day3,date3,user2748,produit2,event_name1,,
year1,month1,day4,date4,user2763,produit2,event_name1,,
year1,month1,day4,date4,user2777,produit2,event_name1,,
year1,month1,day5,date5,user2780,produit2,event_name1,,
year1,month1,day5,date5,user2780,produit2,event_name1,,
year1,month1,day5,date5,user2780,produit2,event_name1,,
year1,month1,day5,date5,user2780,produit2,event_name1,,
year1,month1,day5,date5,user2780,produit2,event_name1,,
year1,month1,day2,date2,user2783,produit2,event_name1,,
year1,month1,day4,date4,user2800,produit2,event_name1,,
year1,month1,day4,date4,user2800,produit2,event_name1,,
year1,month1,day2,date2,user2803,produit2,event_name1,,
year1,month1,day2,date2,user2803,produit2,event_name1,,
year1,month1,day3,date3,user2816,produit2,event_name1,,
year1,month1,day3,date3,user2816,produit2,event_name1,,
year1,month1,day3,date3,user2816,produit2,event_name1,,
year1,month1,day4,date4,user2816,produit2,event_name1,,
year1,month1,day3,date3,user2823,produit2,event_name1,,
year1,month1,day3,date3,user2823,produit2,event_name1,,
year1,month1,day3,date3,user2836,produit2,event_name1,,
year1,month1,day8,date8,user2843,produit2,event_name1,,
year1,month1,day8,date8,user2843,produit2,event_name1,,
year1,month1,day4,date4,user2851,produit2,event_name1,,
year1,month1,day7,date7,user2857,produit2,event_name1,,
year1,month1,day4,date4,user2863,produit2,event_name1,,
year1,month1,day8,date8,user2869,produit2,event_name1,,
year1,month1,day1,date1,user2874,produit2,event_name1,,
year1,month1,day7,date7,user2881,produit2,event_name1,,
year1,month1,day5,date5,user2882,produit2,event_name1,,
year1,month1,day6,date6,user2885,produit2,event_name1,,
year1,month1,day3,date3,user2888,produit2,event_name1,,
year1,month1,day2,date2,user2891,produit2,event_name1,,
year1,month1,day2,date2,user2891,produit2,event_name1,,
year1,month1,day5,date5,user2893,produit2,event_name1,,
year1,month1,day5,date5,user2893,produit2,event_name1,,
year1,month1,day8,date8,user2896,produit2,event_name1,,
year1,month1,day3,date3,user2905,produit2,event_name1,,
year1,month1,day3,date3,user2925,produit2,event_name1,,
year1,month1,day8,date8,user2925,produit2,event_name1,,
year1,month1,day2,date2,user2929,produit2,event_name1,,
year1,month1,day4,date4,user2931,produit2,event_name1,,
year1,month1,day5,date5,user2952,produit2,event_name1,,
year1,month1,day5,date5,user2952,produit2,event_name1,,
year1,month1,day2,date2,user2953,produit2,event_name1,,
year1,month1,day3,date3,user2953,produit2,event_name1,,
